1.2,62774,3,4.31,5.55,8.5,10.41,13.42,17.14,19.22,22.69,23.71
1.38,54945,1.2,4.2,5.51,6.75,9.7,11.61,14.62,18.34,20.42,23.89
1.84,47672,19.36,20.99,22.37,23.57,26.57,27.88,29.12,32.07,33.98,36.99
1.03,59864,1.84,21.2,22.83,24.21,25.41,28.41,29.72,30.96,33.91,35.82
3.12,88141,1.03,2.87,22.23,23.86,25.24,26.44,29.44,30.75,31.99,34.94
1.43,81879,3.12,4.15,5.99,25.35,26.98,28.36,29.56,32.56,33.87,35.11
1.51,60228,1.43,4.55,5.58,7.42,26.78,28.41,29.79,30.99,33.99,35.3
1.11,78558,1.51,2.94,6.06,7.09,8.93,28.29,29.92,31.3,32.5,35.5
3.63,47797,1.11,2.62,4.05,7.17,8.2,10.04,29.4,31.03,32.41,33.61
1.13,81707,3.63,4.74,6.25,7.68,10.8,11.83,13.67,33.03,34.66,36.04
2.5,65954,1.13,4.76,5.87,7.38,8.81,11.93,12.96,14.8,34.16,35.79
36.05,66091,2.5,3.63,7.26,8.37,9.88,11.31,14.43,15.46,17.3,36.66
2.32,66364,36.05,38.55,39.68,43.31,44.42,45.93,47.36,50.48,51.51,53.35
1.31,48982,2.32,38.37,40.87,42,45.63,46.74,48.25,49.68,52.8,53.83
3.13,60968,1.31,3.63,39.68,42.18,43.31,46.94,48.05,49.56,50.99,54.11
1.15,56143,3.13,4.44,6.76,42.81,45.31,46.44,50.07,51.18,52.69,54.12
1.37,96611,1.15,4.28,5.59,7.91,43.96,46.46,47.59,51.22,52.33,53.84
41.19,72607,1.37,2.52,5.65,6.96,9.28,45.33,47.83,48.96,52.59,53.7
8.65,58944,41.19,42.56,43.71,46.84,48.15,50.47,86.52,89.02,90.15,93.78
1.4,51360,8.65,49.84,51.21,52.36,55.49,56.8,59.12,95.17,97.67,98.8
1.46,50265,1.4,10.05,51.24,52.61,53.76,56.89,58.2,60.52,96.57,99.07
1.53,63691,1.46,2.86,11.51,52.7,54.07,55.22,58.35,59.66,61.98,98.03
