1.1,41373,-40406,19.05,11.9,-1480039,-833897,-41198,97854,70749
2.21,69918,2976,18.7,11.75,-1417899,-1046932,-8735,83648,71099
2.12,35063,-5348,15.21,7.07,-1335188,-991480,74155,64802,93323
1.06,33583,-32873,16.08,5.43,-1396113,-1028649,211636,50541,56558
34.23,47621,79607,10.25,5.39,-1365470,-1140300,-97984,37241,72697
3.24,58103,14486,40.72,37.41,-1267745,-1016988,15623,126859,150578
1.41,74184,-68809,42.86,38.53,-1239077,-956583,66329,105171,181123
35.53,88790,156601,42.06,38.88,-1294328,-528288,33955,57320,42508
1.17,80065,-77452,75.47,40.18,-1176190,-292884,223550,194678,214635
1.33,89212,-85703,75.58,38.11,-1283160,-357584,96542,83807,33841
3.27,82423,15551,42.68,38.03,-1366768,-365652,40933,13828,-56921
2.97,83628,16094,42.71,5.77,-1396595,-277109,82684,70135,-964
2.99,54073,-6011,44.27,7.57,-1211121,-359619,76956,105477,12154
2.2,54925,4285,11.73,9.23,-1169339,-310353,62032,68049,11491
1.41,80094,-59404,12.76,8.16,-1126987,-283754,85890,121346,48649
1.28,56016,-47445,12.84,6.6,-1143044,-371304,36497,60216,-90362
12.19,76508,85556,10.85,4.89,-1145505,-398497,-47122,28830,-152293
1.05,56875,-56183,20.07,14.88,-1181160,-193577,59392,44580,2072
2.15,82630,11905,18.13,14.52,-1230635,-230031,-16034,3923,-210712
12.43,66906,89943,18.08,15.39,-1156377,-168965,-37548,-87514,-121355
100.18,26552,36915,29.1,15.63,-1080406,-43828,68119,-2630,54291
1.27,55200,-51777,128,114.76,-936441,65956,145790,74691,75655
1.57,60991,-27414,117.08,113.88,-1020972,94093,113261,19938,7784
1.45,69469,-56858,117.6,103.02,-1040591,209508,54430,-2128,-13619
1.39,76583,-58884,116.9,4.29,-1130581,-124097,46584,-26113,-74762
1.08,52228,-51504,105.86,4.41,-1184821,-148981,-14026,-164604,-74242
1.92,62842,-46010,6.76,3.92,-1247761,-164265,-49471,-230594,-78301
1.15,56261,-55014,7.41,4.39,-1294184,-173840,-165287,-207795,-209867
43.7,184625,1159414,6.99,4.15,-1347060,-195860,-204775,-419410,-208698
5.29,38792,36089,49.24,46.77,-206726,913998,851297,817456,938811
1.88,87266,-73642,53.14,50.14,-101435,980181,882327,939248,884957
16.58,31781,52401,53.94,50.87,-189489,932739,849091,850055,774400
1.1,68419,-52132,68.6,23.75,-138850,963318,898516,886362,878578
7.18,116332,39627,68.55,19.56,-106188,902273,851732,840241,853860
2.44,123762,-113685,32.03,24.86,-25615,961473,924232,875583,950345
54.39,399153,11832202,29.18,10.72,-87835,857799,730940,821302,895544
1.62,31620,-26118,81.69,64.01,11820862,12653827,12548656,12700949,12779250
1.49,74285,-56758,66.73,58.45,11730852,12648667,12591347,12589275,12799142
1.17,51916,-49128,67.12,57.5,11624756,12572666,12377988,12588700,12797398
