배수,총배팅,1게임배수,2게임배수,3게임배수,4게임배수,5게임배수,6게임배수,7게임배수,8게임배수,9게임배수,10게임배수,100게임이득,50게임이득,10게임이득,5게임이득,3게임이득
2.83,49265,11.77,13.049999999999999,14.78,16.24,21.65,31.990000000000002,37.08,40.22,41.31,42.31,-594548,295320,180931,-85506,-29932
7.67,82729,2.83,14.6,15.879999999999999,17.61,19.07,24.479999999999997,34.82,39.91,43.05,44.14,-574511,174351,362162,-129278,-36009
2.58,51093,7.67,10.5,22.27,23.549999999999997,25.28,26.740000000000002,32.15,42.49,47.58,50.72,-620123,231611,657613,-26924,22979
1.59,53543,2.58,10.25,13.08,24.85,26.129999999999995,27.86,29.32,34.73,45.07,50.16,-603950,222551,26318,-16436,-3821
1.16,33860,1.59,4.17,11.84,14.67,26.44,27.719999999999995,29.45,30.91,36.32,46.660000000000004,-663613,129164,-61954,-25202,-21779
4.96,49236,1.16,2.75,5.33,13.0,15.83,27.6,28.879999999999995,30.61,32.07,37.48,-636888,91188,-161492,-75986,-78994
1.92,85405,4.96,6.12,7.71,10.29,17.96,20.79,32.56,33.839999999999996,35.57,37.03,-579103,11179,-155484,-26206,-45779
1.1,42743,1.92,6.88,8.04,9.629999999999999,12.209999999999999,19.880000000000003,22.71,34.480000000000004,35.76,37.49,-587949,-1108,-79358,-52434,-4253
1.16,56845,1.1,3.02,7.98,9.139999999999999,10.729999999999999,13.309999999999999,20.980000000000004,23.810000000000002,35.580000000000005,36.86,-559893,-65717,-101819,-85383,-13218
2.37,62110,1.16,2.26,4.18,9.14,10.299999999999999,11.889999999999999,14.469999999999999,22.140000000000004,24.970000000000002,36.74,-459040,-73962,-122510,-97308,-92881
1.09,59498,2.37,3.5300000000000002,4.63,6.55,11.510000000000002,12.669999999999998,14.259999999999998,16.84,24.510000000000005,27.340000000000003,-388935,-115364,-147483,-71497,-98057
2,57680,1.09,3.46,4.62,5.72,7.64,12.600000000000001,13.759999999999998,15.349999999999998,17.93,25.600000000000005,-356652,-145195,-182883,-156677,-117073
1.65,65019,2.0,3.09,5.46,6.62,7.72,9.64,14.600000000000001,15.759999999999998,17.349999999999998,19.93,-414632,-122483,-231365,-178931,-85876
2.3,95414,1.65,3.65,4.74,7.109999999999999,8.27,9.37,11.290000000000001,16.25,17.409999999999997,18.999999999999996,-365563,-192146,-255450,-170067,-111788
10.03,80849,2.3,3.9499999999999997,5.949999999999999,7.04,9.41,10.57,11.669999999999998,13.59,18.55,19.709999999999997,-322170,-173959,-228353,-131045,-67249
30.59,48608,10.03,12.329999999999998,13.979999999999999,15.979999999999999,17.07,19.439999999999998,20.6,21.699999999999996,23.619999999999997,28.58,-164162,-28763,-105055,-33558,47316
3.39,73120,1.06,31.65,41.68,43.980000000000004,45.63,47.63,48.72,51.09,52.25,53.349999999999994,-67128,-103682,-167633,11298,56467
1.59,77101,3.39,4.45,35.04,45.07,47.370000000000005,49.02,51.02,52.11,54.480000000000004,55.64,14170,-31553,-82209,87858,9628
23.15,69002,1.59,4.98,6.04,36.63,46.660000000000004,48.96000000000001,50.61000000000001,52.61000000000001,53.7,56.07000000000001,-152189,-242481,-88421,42624,-114064
1.88,55868,23.15,24.74,28.13,29.189999999999998,59.78,69.81,72.11000000000001,73.76,75.76,76.85,-11964,-121699,-9514,24044,60062
1.14,96791,1.88,25.029999999999998,26.619999999999997,30.009999999999998,31.069999999999997,61.660000000000004,71.69,73.99000000000001,75.64,77.64,36836,-81072,44261,-45178,9397
2.04,50403,1.14,3.0199999999999996,26.169999999999998,27.759999999999998,31.15,32.209999999999994,62.800000000000004,72.83,75.13000000000001,76.78,-99103,-238576,-28640,-39938,-26095
6.04,49177,2.04,3.1799999999999997,5.06,28.209999999999997,29.799999999999997,33.19,34.24999999999999,64.84,74.87,77.17000000000002,-184966,-328755,3327,-84531,-98947
1,57506,6.04,8.08,9.219999999999999,11.1,34.25,35.839999999999996,39.23,40.28999999999999,70.88000000000001,80.91000000000001,-199461,-275930,37523,-5101,-73987
1.57,30727,1.0,7.04,9.08,10.219999999999999,12.1,35.25,36.839999999999996,40.23,41.28999999999999,71.88000000000001,-212868,-309014,-112468,-136512,-36512
6.35,71949,1.57,2.5700000000000003,8.61,10.65,11.79,13.67,36.82,38.41,41.8,42.85999999999999,-178763,-288827,-194642,-149464,-55536
2.11,99359,6.35,7.92,8.92,14.959999999999999,17.0,18.14,20.02,43.17,44.76,48.15,-41690,-297492,-29281,10657,-10337
1.74,36915,2.11,8.459999999999999,10.03,11.03,17.07,19.11,20.25,22.13,45.28,46.87,72800,-374286,-18795,65736,103301
31.95,34766,1.74,3.8499999999999996,10.2,11.77,12.77,18.81,20.849999999999998,21.99,23.869999999999997,47.02,91415,-430526,26694,31795,107272
6.77,50446,31.95,33.69,35.8,42.15,43.72,44.72,50.76,52.8,53.94,55.81999999999999,125441,-334160,17893,154405,107236
3.36,28910,6.77,38.72,40.459999999999994,42.56999999999999,48.92,50.489999999999995,51.489999999999995,57.53,59.56999999999999,60.709999999999994,324153,-257782,80596,230060,108788
3.01,78500,3.36,10.129999999999999,42.08,43.81999999999999,45.92999999999999,52.28,53.849999999999994,54.849999999999994,60.89,62.92999999999999,367749,-330886,180694,170037,127905
4.39,93267,3.01,6.369999999999999,13.139999999999999,45.089999999999996,46.82999999999999,48.93999999999999,55.29,56.85999999999999,57.85999999999999,63.9,357523,-266704,232815,167079,115975
1.12,79440,4.39,7.3999999999999995,10.759999999999998,17.529999999999998,49.48,51.21999999999999,53.32999999999999,59.68,61.24999999999999,62.24999999999999,390932,-154308,306733,274938,152150
1.14,57511,1.12,5.51,8.52,11.879999999999999,18.65,50.599999999999994,52.33999999999999,54.44999999999999,60.8,62.36999999999999,439250,-209176,286531,132126,69325
1.67,42957,1.14,2.26,6.6499999999999995,9.66,13.02,19.79,51.739999999999995,53.47999999999999,55.58999999999999,61.94,299323,-182342,249480,19420,-38871
1.11,27000,1.67,2.8099999999999996,3.9299999999999997,8.32,11.33,14.69,21.46,53.41,55.14999999999999,57.25999999999999,362302,-144667,162937,-7100,-154133
1.55,31615,1.11,2.7800000000000002,3.92,5.04,9.43,12.44,15.799999999999999,22.57,54.519999999999996,56.25999999999999,330671,-112200,82628,-84451,-100602
6.2,73542,1.55,2.66,4.33,5.47,6.59,10.98,13.99,17.349999999999998,24.12,56.06999999999999,208864,-50443,81929,-193009,-60279
2.83,86922,6.2,7.75,8.86,10.530000000000001,11.67,12.79,17.18,20.19,23.549999999999997,30.32,282431,121940,80113,-52013,24412
5.06,48055,2.83,9.030000000000001,10.58,11.69,13.360000000000001,14.5,15.62,20.009999999999998,23.020000000000003,26.379999999999995,223518,355570,51434,32014,77594
7.14,94026,5.06,7.89,14.09,15.64,16.75,18.42,19.56,20.68,25.069999999999997,28.080000000000002,399688,664653,86351,93451,132327
3.77,61378,7.14,12.2,15.03,21.23,22.78,23.89,25.560000000000002,26.7,27.82,32.209999999999994,578240,118835,111825,196276,147687
2.75,71606,3.77,10.91,15.969999999999999,18.8,25.0,26.55,27.66,29.330000000000002,30.47,31.59,525517,102063,48114,241123,148830
7.42,77127,2.75,6.52,13.66,18.72,21.55,27.75,29.3,30.41,32.08,33.22,636400,40256,132740,184753,115714
4.33,75675,7.42,10.17,13.94,21.08,26.14,28.97,35.17,36.72,37.83,39.5,532172,63671,231555,199541,80859
1.3,79465,1.26,5.59,13.01,15.76,19.53,26.669999999999998,31.73,34.559999999999995,40.76,42.309999999999995,432387,109725,229920,33644,-3422
8.79,73155,1.3,2.56,6.89,14.31,17.06,20.830000000000002,27.97,33.03,35.85999999999999,42.059999999999995,463040,119695,222003,-19120,-69831
1.03,77166,14.25,23.04,24.34,25.6,29.93,37.35,40.099999999999994,43.870000000000005,51.01,56.07,452799,278448,285040,85499,132714
4.12,50315,1.03,15.28,24.07,25.37,26.630000000000003,30.96,38.38,41.129999999999995,44.900000000000006,52.04,406492,174881,167841,-61524,78165
1.11,70111,4.12,5.15,19.4,28.19,29.490000000000002,30.750000000000004,35.08,42.5,45.24999999999999,49.02,405482,182931,90414,56770,60159
1,71533,1.11,5.23,6.260000000000001,20.509999999999998,29.3,30.6,31.860000000000003,36.19,43.61,46.35999999999999,285122,155958,-8059,11061,-144269
1.75,69573,1.0,2.1100000000000003,6.23,7.260000000000001,21.509999999999998,30.3,31.6,32.86,37.19,44.61,206426,115238,-86510,-79699,-138637
3.75,77593,1.75,2.75,3.8600000000000003,7.98,9.010000000000002,23.259999999999998,32.05,33.35,34.61,38.94,55852,44673,-174482,-259981,-184037
1.86,82984,3.75,5.5,6.5,7.61,11.73,12.760000000000002,27.009999999999998,35.8,37.1,38.36,53797,54905,-233934,-172410,-105306
4.64,68747,2.44,4.3,8.05,9.8,10.799999999999999,11.91,16.03,17.060000000000002,31.31,40.099999999999994,25353,99315,-142890,-153951,-38239
15.99,68752,4.64,7.08,8.94,12.690000000000001,14.440000000000001,15.439999999999998,16.55,20.67,21.700000000000003,35.949999999999996,13690,129054,-137380,-57681,-23908
24.04,47909,15.99,20.63,23.07,24.93,28.68,30.43,31.43,32.54,36.660000000000004,37.690000000000005,69412,214607,-246724,13257,53647
3.48,61540,24.04,40.03,44.67,47.11,48.97,52.72,54.47,55.47,56.58,60.7,148275,270758,-135488,36922,85567
4.64,80886,2.72,6.2,30.24,46.23,50.87,53.309999999999995,55.169999999999995,58.919999999999995,60.669999999999995,61.669999999999995,130035,303994,-80317,73634,22138
12.9,35124,1.51,6.39,10.74,13.049999999999999,14.37,16.16,17.380000000000003,21.0,24.16,25.96,75455,364282,-134904,-5151,87977
2.28,62126,12.9,14.41,19.29,23.64,25.95,27.27,29.060000000000002,30.28,33.9,37.06,30524,328016,-75856,112347,66575
1.34,70408,2.28,15.18,16.69,21.57,25.92,28.23,29.55,31.340000000000003,32.56,36.18,-117977,256309,-101576,101276,-9206
6.48,87766,1.34,3.62,16.52,18.03,22.91,27.26,29.57,30.89,32.68000000000001,33.900000000000006,-207447,223079,-185082,3770,-33931
1.1,84873,6.48,7.82,10.100000000000001,23.0,24.51,29.39,33.74,36.05,37.370000000000005,39.16000000000001,-135464,198696,-39026,-15715,-22084
1.1,90088,1.1,7.58,8.92,11.200000000000001,24.1,25.610000000000003,30.490000000000002,34.84,37.15,38.470000000000006,-201006,56776,-82597,-77446,-90745
2.05,64800,1.1,2.2,8.68,10.02,12.3,25.200000000000003,26.710000000000004,31.590000000000003,35.940000000000005,38.25,-366532,-35646,-81278,-193625,-130820
3.74,63071,2.05,3.15,4.25,10.73,12.07,14.350000000000001,27.250000000000004,28.760000000000005,33.64,37.99,-365231,-98527,-86481,-187757,-181248
1.13,45373,3.74,5.79,6.890000000000001,7.99,14.47,15.81,18.090000000000003,30.990000000000002,32.50000000000001,37.38,-344142,-189834,-134205,-137975,-94460
1.09,50089,1.13,4.87,6.92,8.02,9.120000000000001,15.600000000000001,16.94,19.220000000000002,32.120000000000005,33.63000000000001,-364114,-154938,-237223,-221508,-49967
1.21,53749,1.09,2.2199999999999998,5.96,8.01,9.11,10.21,16.69,18.03,20.310000000000002,33.21000000000001,-330810,-148468,-263270,-185824,-88812
1.21,64747,1.21,2.3,3.4299999999999997,7.17,9.219999999999999,10.32,11.420000000000002,17.900000000000002,19.240000000000002,21.520000000000003,-316375,-171708,-336787,-143162,-136007
4.36,87861,1.21,2.42,3.51,4.64,8.379999999999999,10.43,11.530000000000001,12.630000000000003,19.110000000000003,20.450000000000003,-315852,-203652,-377333,-189576,-149316
1.83,49419,4.36,5.57,6.78,7.87,9.0,12.739999999999998,14.79,15.89,16.990000000000002,23.470000000000002,-197451,-147008,-288158,-150183,-58819
3.11,71157,1.83,6.19,7.4,8.61,9.7,10.83,14.569999999999999,16.619999999999997,17.72,18.82,-112228,-234168,-352751,-131243,-38048
2.6,34329,3.11,4.9399999999999995,9.3,10.51,11.719999999999999,12.809999999999999,13.94,17.68,19.729999999999997,20.83,92604,-262966,-268308,-82484,18280
1.03,64586,2.6,5.71,7.539999999999999,11.9,13.11,14.319999999999999,15.409999999999998,16.54,20.28,22.33,356246,-308407,-186410,-43248,-29072
1.15,49126,1.03,3.63,6.74,8.569999999999999,12.93,14.139999999999999,15.349999999999998,16.439999999999998,17.57,21.310000000000002,-332802,-451637,-241285,-51709,-69782
1.15,60393,1.15,2.1799999999999997,4.779999999999999,7.890000000000001,9.719999999999999,14.08,15.29,16.499999999999996,17.589999999999996,18.72,-427652,-529715,-291767,-141584,-117919
2.38,42315,1.15,2.3,3.3299999999999996,5.93,9.040000000000001,10.87,15.23,16.439999999999998,17.649999999999995,18.739999999999995,-555159,-595415,-307737,-176494,-171294
3.29,51208,2.38,3.53,4.68,5.709999999999999,8.309999999999999,11.420000000000002,13.25,17.61,18.819999999999997,20.029999999999994,-598962,-662633,-282610,-200126,-130137
3.9,47792,3.29,5.67,6.82,7.97,9.0,11.599999999999998,14.71,16.54,20.9,22.109999999999996,-514723,-724204,-229680,-186432,-73920
1.49,48978,3.9,7.1899999999999995,9.57,10.72,11.87,12.9,15.499999999999998,18.61,20.439999999999998,24.799999999999997,-491359,-601084,-167512,-115803,-9091
1.54,50303,1.49,5.39,8.68,11.06,12.21,13.36,14.39,16.99,20.099999999999998,21.929999999999996,-496733,-616428,-247417,-105833,-23626
2.39,52239,1.54,3.0300000000000002,6.93,10.219999999999999,12.600000000000001,13.75,14.899999999999999,15.93,18.529999999999998,21.639999999999997,-541566,-660517,-248407,-71913,-56775
2.15,50564,2.39,3.93,5.42,9.32,12.61,14.990000000000002,16.14,17.29,18.32,20.919999999999998,-538066,-816514,-268508,-68382,-82716
2.59,42198,6.16,8.31,10.7,12.24,13.73,17.630000000000003,20.92,23.3,24.45,25.599999999999998,-534354,-717285,-175234,-59431,3391
1.87,78686,2.59,8.75,10.9,13.29,14.83,16.32,20.220000000000002,23.51,25.89,27.04,-500376,-656334,-134678,-28845,15911
2.86,44869,1.87,4.46,10.620000000000001,12.77,15.16,16.7,18.19,22.090000000000003,25.380000000000003,27.76,-500092,-615330,-106425,-34512,431
1.13,62356,2.86,4.73,7.32,13.48,15.629999999999999,18.02,19.56,21.05,24.950000000000003,28.240000000000002,-557871,-602544,-114393,-46011,-69296
3.92,64365,1.13,3.9899999999999998,5.86,8.45,14.61,16.759999999999998,19.15,20.689999999999998,22.18,26.080000000000002,-616971,-671876,-181606,-89888,-120848
1.05,95321,3.92,5.05,7.91,9.780000000000001,12.37,18.53,20.68,23.07,24.61,26.1,-570041,-613928,-180501,-121070,-83167
2.55,83982,1.05,4.97,6.1,8.96,10.830000000000002,13.42,19.580000000000002,21.73,24.12,25.66,-559534,-658849,-185311,-156466,-94544
1.87,54881,2.55,3.5999999999999996,7.52,8.649999999999999,11.510000000000002,13.380000000000003,15.969999999999999,22.130000000000003,24.28,26.67,-574696,-703750,-180613,-146101,-55782
