2552702,1.39,129748,-14770
2552701,3.21,139904,9784
2552700,8.71,69449,65702
2552699,1.44,47914,-41025
2552698,1.2,42615,-41834
2552697,2,43652,-24310
2552696,1.03,38079,-38074
2552695,8.02,48546,46363
2552694,5.9,46569,24193
2552693,1.67,156830,-33733
2552692,4.23,112920,69595
2552691,1.01,36166,-36164
2552690,3.44,177064,108522
2552689,1.5,143139,-25294
2552688,2.26,51434,-7559
2552687,2.22,86699,14276
2552686,1.18,51650,-50290
2552685,2.1,38294,-16807
2552684,1.71,25946,-17129
2552683,3.33,89227,90323
2552682,1.82,55667,-28857
2552681,1.71,50259,-23358
2552680,2.82,171813,108630
2552679,1.01,35992,-35988
2552678,1.49,71727,-24665
2552677,1381.07,24119,96303
2552676,1.08,24213,-24062
2552675,1.76,43012,-34246
2552674,4.65,92832,69728
2552673,1.91,34173,-19269
2552672,1.1,34075,-32961
2552671,1.2,36060,-35225
2552670,29.88,26163,75522
2552669,1,22171,-22171
2552668,34.81,35744,160500
2552667,8.62,44540,22834
2552666,1.79,34981,-22683
2552665,7.74,79135,33856
2552664,11.08,74859,63510
2552663,1.36,77280,-66016
2552662,1.15,68766,-67273
2552661,1.16,45598,-31982
2552660,1.1,69110,-34350
2552659,10.14,67298,32606
2552658,1.19,31904,-31627
2552657,7.61,84387,39740
2552656,10.59,72001,12616
2552655,1.04,61863,-61757
2552654,2.2,52964,-4956
2552653,3.01,95614,39388
2552652,5.54,104740,74264
2552651,1.83,103874,-51088
2552650,2.25,46405,-13375
2552649,1.51,79943,-32003
2552648,1.65,66582,-21908
2552647,2.7,80068,-7204
2552646,6.02,121759,61038
2552645,5.56,81571,40646
2552644,1.15,78436,-44247
2552643,4.97,94190,35339
2552642,1.19,87330,-74664
2552641,2.58,32943,6693
2552640,3.32,41152,22676
2552639,1.52,24691,-16129
2552638,3.42,198634,198162
2552637,1.33,68212,-64564
2552636,1.55,51803,-42934
2552635,1.01,57198,-57195
2552634,1.17,40888,-38418
2552633,2.51,53790,-16689
2552632,1.1,34537,-34142
2552631,1.7,32182,-23923
2552630,1.6,29836,-21744
2552629,1.91,39841,-21419
2552628,3.53,35958,18910
2552627,2.75,45428,8006
2552626,3.57,31945,4078
2552625,31.48,32376,99968
2552624,38.1,80281,352378
2552623,1.79,68324,-52997
2552622,2.99,49258,-30557
2552621,1.32,32257,-31248
2552620,1.06,43537,-33184
2552619,2.11,47288,-16327
2552618,2.57,34494,-13951
2552617,3.91,58284,34066
2552616,11.96,84480,106521
2552615,1.33,85063,-65119
2552614,1.36,65406,-63403
2552613,1.41,56950,-52605
2552612,1.15,54224,-53953
2552611,1.25,38064,-32683
2552610,6.78,45802,36831
2552609,22.44,64041,162643
2552608,1.18,50510,-49406
2552607,3.39,113365,78466
2552606,8.2,57291,29632
2552605,1.17,58576,-56175
2552604,1.98,54127,-48933
2552603,4.18,47388,30499
2552602,4.9,53721,20139
2552601,3.32,55016,24918
2552600,1.3,70913,-69976
2552599,9.7,58648,52015
2552598,1.05,60592,-60382
2552597,1.14,92722,-83182
2552596,1.72,39164,-35477
